50193634,14213449,F,268256.40,1992-10-24,"4-NOT SPECIFIED",Clerk#000007996,0,", ironic requests sleep furiously express dependencies. fluffil"
50214149,10094710,F,243411.32,1994-02-27,"2-HIGH",Clerk#000092899,0,odolites wake about the carefully special deposits. never regular deposit
50234471,12128687,F,117781.10,1992-03-07,"4-NOT SPECIFIED",Clerk#000050250,0,gular theodolites abo
50254818,4686301,F,278826.21,1994-08-23,"3-MEDIUM",Clerk#000098323,0,carefully even accounts are according to th
50275333,3832096,O,189717.32,1998-01-26,"2-HIGH",Clerk#000065748,0,"lar deposits above the even accounts are along the special, sile"
50193634,14213449,F,268256.40,1992-10-24,"4-NOT SPECIFIED",Clerk#000007996,0,", ironic requests sleep furiously express dependencies. fluffil"
50214149,10094710,F,243411.32,1994-02-27,"2-HIGH",Clerk#000092899,0,odolites wake about the carefully special deposits. never regular deposit
50234496,11832649,F,163952.82,1993-06-01,"3-MEDIUM",Clerk#000039928,0,s haggle above the notornis. deposits 
50254818,4686301,F,278826.21,1994-08-23,"3-MEDIUM",Clerk#000098323,0,carefully even accounts are according to th
50275333,3832096,O,189717.32,1998-01-26,"2-HIGH",Clerk#000065748,0,"lar deposits above the even accounts are along the special, sile"
50193634,14213449,F,268256.40,1992-10-24,"4-NOT SPECIFIED",Clerk#000007996,0,", ironic requests sleep furiously express dependencies. fluffil"
50214150,11778830,F,134274.33,1993-01-17,"2-HIGH",Clerk#000039533,0, final ideas. final instructions cajole fluffi
50234496,11832649,F,163952.82,1993-06-01,"3-MEDIUM",Clerk#000039928,0,s haggle above the notornis. deposits 
50254818,4686301,F,278826.21,1994-08-23,"3-MEDIUM",Clerk#000098323,0,carefully even accounts are according to th
50275333,3832096,O,189717.32,1998-01-26,"2-HIGH",Clerk#000065748,0,"lar deposits above the even accounts are along the special, sile"
50193634,14213449,F,268256.40,1992-10-24,"4-NOT SPECIFIED",Clerk#000007996,0,", ironic requests sleep furiously express dependencies. fluffil"
